id_token,token_e,company_name,earnings_day,filing_date,fiscal_period,fiscal_year
1,AVGO,Broadcom Inc.,2024-03-13,2024-03-14,Q1,2024
1,AVGO,Broadcom Inc.,2023-12-13,2023-12-14,FY,2023
1,AVGO,Broadcom Inc.,2023-09-05,2023-09-06,Q3,2023
1,AVGO,Broadcom Inc.,2023-06-06,2023-06-07,Q2,2023
1,AVGO,Broadcom Inc.,2023-03-07,2023-03-08,Q1,2023
1,AVGO,Broadcom Inc.,2022-12-15,2022-12-16,FY,2022
1,AVGO,Broadcom Inc.,2022-09-07,2022-09-08,Q3,2022
1,AVGO,Broadcom Inc.,2022-06-08,2022-06-09,Q2,2022
1,AVGO,Broadcom Inc.,2022-03-09,2022-03-10,Q1,2022
2,COST,COSTCO WHOLESALE CORP /NEW,2024-03-12,2024-03-13,Q2,2024
2,COST,COSTCO WHOLESALE CORP /NEW,2023-12-19,2023-12-20,Q1,2024
2,COST,COSTCO WHOLESALE CORP /NEW,2023-10-10,2023-10-11,FY,2023
2,COST,COSTCO WHOLESALE CORP /NEW,2023-05-31,2023-06-01,Q3,2023
2,COST,COSTCO WHOLESALE CORP /NEW,2023-03-08,2023-03-09,Q2,2023
2,COST,COSTCO WHOLESALE CORP /NEW,2022-12-28,2022-12-29,Q1,2023
2,COST,COSTCO WHOLESALE CORP /NEW,2022-10-04,2022-10-05,FY,2022
2,COST,COSTCO WHOLESALE CORP /NEW,2022-06-01,2022-06-02,Q3,2022
2,COST,COSTCO WHOLESALE CORP /NEW,2022-03-09,2022-03-10,Q2,2022
3,DECK,DECKERS OUTDOOR CORP,2024-02-04,2024-02-05,Q3,2024
3,DECK,DECKERS OUTDOOR CORP,2023-11-01,2023-11-02,Q2,2024
3,DECK,DECKERS OUTDOOR CORP,2023-08-02,2023-08-03,Q1,2024
3,DECK,DECKERS OUTDOOR CORP,2023-05-25,2023-05-26,FY,2023
3,DECK,DECKERS OUTDOOR CORP,2023-02-05,2023-02-06,Q3,2023
3,DECK,DECKERS OUTDOOR CORP,2022-11-02,2022-11-03,Q2,2023
3,DECK,DECKERS OUTDOOR CORP,2022-08-03,2022-08-04,Q1,2023
3,DECK,DECKERS OUTDOOR CORP,2022-05-26,2022-05-27,FY,2022
3,DECK,DECKERS OUTDOOR CORP,2022-02-06,2022-02-07,Q3,2022
4,GOOG,Alphabet Inc.,2024-01-30,2024-01-31,FY,2023
4,GOOG,Alphabet Inc.,2023-10-24,2023-10-25,Q3,2023
4,GOOG,Alphabet Inc.,2023-07-25,2023-07-26,Q2,2023
4,GOOG,Alphabet Inc.,2023-04-25,2023-04-26,Q1,2023
4,GOOG,Alphabet Inc.,2023-02-02,2023-02-03,FY,2022
4,GOOG,Alphabet Inc.,2022-10-25,2022-10-26,Q3,2022
4,GOOG,Alphabet Inc.,2022-07-26,2022-07-27,Q2,2022
4,GOOG,Alphabet Inc.,2022-04-26,2022-04-27,Q1,2022
4,GOOG,Alphabet Inc.,2022-02-01,2022-02-02,FY,2021
5,MO,"ALTRIA GROUP, INC.",2024-04-24,2024-04-25,Q1,2024
5,MO,"ALTRIA GROUP, INC.",2024-02-26,2024-02-27,FY,2023
5,MO,"ALTRIA GROUP, INC.",2023-10-25,2023-10-26,Q3,2023
5,MO,"ALTRIA GROUP, INC.",2023-07-31,2023-08-01,Q2,2023
5,MO,"ALTRIA GROUP, INC.",2023-04-26,2023-04-27,Q1,2023
5,MO,"ALTRIA GROUP, INC.",2023-02-26,2023-02-27,FY,2022
5,MO,"ALTRIA GROUP, INC.",2022-10-26,2022-10-27,Q3,2022
5,MO,"ALTRIA GROUP, INC.",2022-07-27,2022-07-28,Q2,2022
5,MO,"ALTRIA GROUP, INC.",2022-04-27,2022-04-28,Q1,2022
5,MO,"ALTRIA GROUP, INC.",2022-02-24,2022-02-25,FY,2021
6,MMM,3M CO,2024-02-06,2024-02-07,FY,2023
6,MMM,3M CO,2023-10-23,2023-10-24,Q3,2023
6,MMM,3M CO,2023-07-24,2023-07-25,Q2,2023
6,MMM,3M CO,2023-04-24,2023-04-25,Q1,2023
6,MMM,3M CO,2023-02-07,2023-02-08,FY,2022
6,MMM,3M CO,2022-10-24,2022-10-25,Q3,2022
6,MMM,3M CO,2022-07-26,2022-07-27,Q2,2022
6,MMM,3M CO,2022-04-25,2022-04-26,Q1,2022
6,MMM,3M CO,2022-02-08,2022-02-09,FY,2021
7,ENPH,"Enphase Energy, Inc.",2024-02-08,2024-02-09,FY,2023
7,ENPH,"Enphase Energy, Inc.",2023-10-25,2023-10-26,Q3,2023
7,ENPH,"Enphase Energy, Inc.",2023-07-26,2023-07-27,Q2,2023
7,ENPH,"Enphase Energy, Inc.",2023-04-24,2023-04-25,Q1,2023
7,ENPH,"Enphase Energy, Inc.",2023-02-12,2023-02-13,FY,2022
7,ENPH,"Enphase Energy, Inc.",2022-10-24,2022-10-25,Q3,2022
