ticker,company_name,exchange_code,exchange_name,region,INTERNAL_StockID,CCY,ISIN,type,dividend_convention,industry_sector
SEDG,SolarEdge Technologies Inc,NASDAQ,NASDAQ Stocks Exchange,USA,24175,USD,US83417M1045,S,,Energy-Alternate Sources
SOXL,Direxion Daily Semiconductors Bull 3x Shares,NYSEArca,NYSE Arca Options,USA,21274,USD,US25459W4583,F,Implied yields,
DPST,Direxion Daily Regional Banks Bull 3X Shares,NYSEArca,NYSE Arca Options,USA,26475,USD,US25460G1537,F,Implied yields,
ENPH,Enphase Energy Inc.,NASDAQ,NASDAQ Stocks Exchange,USA,22577,USD,US29355A1079,S,,Energy-Alternate Sources
VCYT,Veracyte Inc,NASDAQ,NASDAQ Stocks Exchange,USA,24400,USD,US92337F1075,S,,Biotechnology
PLTR,Palantir Technologies Inc,NYSE,New York Stock Exchange,USA,26416,USD,US69608A1088,S,,Software
SMCI,SuperMicro Computer Inc,NASDAQ,NASDAQ Stocks Exchange,USA,19504,USD,US86800U1043,S,,Computers
FOUR,Shift4 Payments Inc,NYSE,New York Stock Exchange,USA,26196,USD,US82452J1097,S,,Commercial Services
SE,7-ELEVEN INC,NYSE,New York Stock Exchange,USA,17011,USD,,S,,Internet
SE,Sea Ltd,NYSE,New York Stock Exchange,USA,25291,USD,US81141R1005,S,,Internet
SE,Spectra Energy Corp,NYSE,New York Stock Exchange,USA,19186,USD,US8475601097,S,Discrete dividends,Internet
TNA,Direxion Daily Small Cap Bull 3X Shares,NYSEArca,NYSE Arca Options,USA,20146,USD,US25459W8477,F,Implied yields,
SQ,Block Inc,NYSE,New York Stock Exchange,USA,24535,USD,US8522341036,S,,Commercial Services
SHOP,Shopping.com Ltd,NASDAQ,NASDAQ Stocks Exchange,USA,18368,USD,,S,,Internet
SHOP,Shopify Inc,NYSE,New York Stock Exchange,USA,24240,USD,CA82509L1076,S,,Internet
TQQQ,ProShares UltraPro QQQ,NASDAQ,NASDAQ Stocks Exchange,USA,20640,USD,US74347X8314,F,Implied yields,
DOCS,Doximity Inc,NYSE,New York Stock Exchange,USA,29461,USD,US26622P1075,S,,Software
TSLA,Tesla Inc,NASDAQ,NASDAQ Stocks Exchange,USA,21400,USD,US88160R1014,S,,Auto Manufacturers
GSHD,Goosehead Insurance Inc,NASDAQ,NASDAQ Stocks Exchange,USA,25545,USD,US38267D1090,S,,Insurance
LSCC,LATTICE SEMICONDUCTOR CORP,NASDAQ,NASDAQ Stocks Exchange,USA,3758,USD,US5184151042,S,,Semiconductors
STNE,STONECO LTD,NASDAQ,NASDAQ Stocks Exchange,USA,25666,USD,KYG851581069,S,,Commercial Services
ELF,e.l.f. Beauty Inc,NYSE,New York Stock Exchange,USA,24901,USD,US26856L1035,S,,Cosmetics/Personal Care
TWLO,Twilio Inc,NYSE,New York Stock Exchange,USA,24747,USD,US90138F1021,S,,Software
AMD,Advanced Micro Devices Inc,NASDAQ,NASDAQ Stocks Exchange,USA,6512,USD,US0079031078,S,,Semiconductors
NVDA,NVIDIA Corp,NASDAQ,NASDAQ Stocks Exchange,USA,4372,USD,US67066G1040,S,Discrete dividends,Semiconductors
UUUU,Energy Fuels Inc,NYSEAN,NYSE Alternext Equities,USA,23545,USD,CA2926717083,S,,Mining
LI,Li Auto Inc,NASDAQ,NASDAQ Stocks Exchange,USA,26272,USD,US50202M1027,S,,Auto Manufacturers
LI,Laidlaw International Inc,NYSE,New York Stock Exchange,USA,18363,USD,US50730R1023,S,Discrete dividends,Auto Manufacturers
FTNT,Fortinet Inc,NASDAQ,NASDAQ Stocks Exchange,USA,20536,USD,US34959E1091,S,,Computers
